[----------] Global test environment set-up.
[----------] 2 tests from MathMatrix
[ RUN      ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small
[       OK ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small (1 ms)
[ RUN      ] MathMatrix.cholesky_decompose_small
N: 180 - CPU: 312179
N: 180 - CPU: 314520
N: 180 - CPU: 312333
N: 180 - CPU: 312009
N: 180 - CPU: 312003
N: 180 - CPU: 312243
N: 180 - CPU: 312388
N: 180 - CPU: 312304
N: 180 - CPU: 312248
N: 180 - CPU: 312268
N: 180 - CPU: 312222
N: 180 - CPU: 312198
N: 180 - CPU: 312310
N: 180 - CPU: 312311
N: 180 - CPU: 312200
N: 180 - CPU: 312091
N: 180 - CPU: 312234
N: 180 - CPU: 312459
N: 180 - CPU: 312368
N: 180 - CPU: 312383
N: 180 - CPU: 313878
N: 180 - CPU: 312328
N: 180 - CPU: 314398
N: 180 - CPU: 318800
N: 180 - CPU: 322425
N: 180 - CPU: 312062
N: 180 - CPU: 312117
N: 180 - CPU: 312287
N: 180 - CPU: 312321
N: 180 - CPU: 312133
N: 180 - CPU: 312426
N: 180 - CPU: 312127
N: 180 - CPU: 312303
N: 180 - CPU: 312393
N: 180 - CPU: 312231
N: 180 - CPU: 312197
N: 180 - CPU: 312186
N: 180 - CPU: 312307
N: 180 - CPU: 312047
N: 180 - CPU: 312229
N: 180 - CPU: 312196
N: 180 - CPU: 312493
N: 180 - CPU: 312482
N: 180 - CPU: 312330
N: 180 - CPU: 312312
N: 180 - CPU: 314357
N: 180 - CPU: 312426
N: 180 - CPU: 314288
N: 180 - CPU: 312253
N: 180 - CPU: 312323
N: 180 - CPU: 312265
N: 180 - CPU: 312161
N: 180 - CPU: 312195
N: 180 - CPU: 312267
N: 180 - CPU: 312509
N: 180 - CPU: 312339
N: 180 - CPU: 312238
N: 180 - CPU: 312278
N: 180 - CPU: 312290
N: 180 - CPU: 312294
N: 180 - CPU: 312262
N: 180 - CPU: 380648
N: 180 - CPU: 446330
N: 180 - CPU: 479355
N: 180 - CPU: 322570
N: 180 - CPU: 313070
N: 180 - CPU: 312618
N: 180 - CPU: 336960
N: 180 - CPU: 312305
N: 180 - CPU: 338743
N: 180 - CPU: 369829
N: 180 - CPU: 613096
N: 180 - CPU: 318256
N: 180 - CPU: 312857
N: 180 - CPU: 312834
N: 180 - CPU: 311954
N: 180 - CPU: 313262
N: 180 - CPU: 372744
N: 180 - CPU: 313632
N: 180 - CPU: 316592
N: 180 - CPU: 312656
N: 180 - CPU: 314598
N: 180 - CPU: 312084
N: 180 - CPU: 312023
N: 180 - CPU: 312044
N: 180 - CPU: 312927
N: 180 - CPU: 312128
N: 180 - CPU: 312206
N: 210 - CPU: 514751
N: 210 - CPU: 481381
N: 210 - CPU: 483341
N: 210 - CPU: 480605
N: 210 - CPU: 480308
N: 210 - CPU: 479735
N: 210 - CPU: 480231
N: 210 - CPU: 480127
N: 210 - CPU: 480029
N: 210 - CPU: 479681
N: 210 - CPU: 479934
N: 210 - CPU: 480485
N: 210 - CPU: 479893
N: 210 - CPU: 483093
N: 210 - CPU: 480130
N: 210 - CPU: 480815
N: 210 - CPU: 480390
N: 210 - CPU: 479883
N: 210 - CPU: 480397
N: 210 - CPU: 480071
N: 210 - CPU: 479861
N: 210 - CPU: 480465
N: 210 - CPU: 480066
N: 210 - CPU: 480243
N: 210 - CPU: 482632
N: 210 - CPU: 479778
N: 210 - CPU: 479855
N: 210 - CPU: 480761
N: 210 - CPU: 480506
N: 210 - CPU: 479863
N: 210 - CPU: 480061
N: 210 - CPU: 480100
N: 210 - CPU: 480276
N: 210 - CPU: 480483
N: 210 - CPU: 479988
N: 210 - CPU: 531036
N: 210 - CPU: 480095
N: 210 - CPU: 480190
N: 210 - CPU: 480344
N: 210 - CPU: 480217
N: 210 - CPU: 480110
N: 210 - CPU: 480074
N: 210 - CPU: 480543
N: 210 - CPU: 480300
N: 210 - CPU: 480013
N: 210 - CPU: 480367
N: 210 - CPU: 505760
N: 210 - CPU: 480057
N: 210 - CPU: 480529
N: 210 - CPU: 480304
N: 250 - CPU: 810188
N: 250 - CPU: 764783
N: 250 - CPU: 764615
N: 250 - CPU: 764153
N: 250 - CPU: 766490
N: 250 - CPU: 764528
N: 250 - CPU: 763759
N: 250 - CPU: 764020
N: 250 - CPU: 763828
N: 250 - CPU: 764034
N: 250 - CPU: 766441
N: 250 - CPU: 763749
N: 250 - CPU: 764381
N: 250 - CPU: 763966
N: 250 - CPU: 763949
N: 250 - CPU: 763992
N: 250 - CPU: 766419
N: 250 - CPU: 765661
N: 250 - CPU: 764263
N: 250 - CPU: 764431
N: 250 - CPU: 763663
N: 250 - CPU: 764113
N: 250 - CPU: 766023
N: 250 - CPU: 766562
N: 250 - CPU: 763902
N: 250 - CPU: 764364
N: 250 - CPU: 763998
N: 250 - CPU: 764319
N: 250 - CPU: 764337
N: 250 - CPU: 766756
N: 250 - CPU: 764177
N: 250 - CPU: 763971
N: 250 - CPU: 763982
N: 250 - CPU: 763523
N: 250 - CPU: 764195
N: 250 - CPU: 765686
N: 250 - CPU: 765576
N: 250 - CPU: 764576
N: 250 - CPU: 764310
N: 250 - CPU: 898092
N: 250 - CPU: 770942
N: 250 - CPU: 764979
N: 250 - CPU: 765117
N: 250 - CPU: 763769
N: 250 - CPU: 763029
